name,gender
Adam Ondra,man
Aidan Roberts,man
Akira Waku,man
Alex Johnson,woman
Alex Megos,man
Alex Puccio,woman
Allison Vest,woman
Anak Verhoeven,woman
Andy Lamb,man
Angela Eiter,woman
Anna Stöhr,woman
Ashima Shiraishi,woman
Bernd Zangerl,man
Brooke Raboutou,woman
Camille Coudert,man
Carlo Traversi,man
Charles Albert,man
Chris Sharma,man
Christian Core,man
Clément Lechaptois,man
Colin Duffy,man
Dai Koyamada,man
Daisuke Ichimiya,man
Daniel Woods,man
Dave Graham,man
Drew Ruana,man
Dylan Barks,man
Elias Iagnemma,man
Florian Wientjes,man
Gabe Lawson,man
Giuliano Cameroni,man
Griffin Whiteside,man
Ignacio Sánchez González,man
Isabelle Faus,woman
Jakob Schubert,man
Jana Švecová,woman
Janja Garnbret,woman
Jimmy Webb,man
Jorge Díaz-Rullo,man
Josune Bereziartu,woman
Julia Chanourdie,woman
Katie Lamb,woman
Kazuma Ise,man
Laura Rogora,woman
Linda Sjödin,woman
Lucie Hrozová,woman
Margo Hayes,woman
Marine Thevenet,woman
Matt Fultz,man
Mélissa Le Nevé,woman
Michaela Kiersch,woman
Michiel Nieuwenhuijsen,man
Mirit Heyden,woman
Nalle Hukkataival,man
Nathan Williams,man
Nathaniel Coleman,man
Niccolò Ceria,man
Nico Pelorson,man
Nolwen Berthier,woman
Oriane Bertone,woman
Pablo Hammack,man
Rustam Gelmanov,man
Ryohei Kameyama,man
Ryuichi Murai,man
Sean Bailey,man
Seb Bouin,man
Seo Chae-Hyun,woman
Sergii Topishko,man
Shauna Coxsey,woman
Shawn Raboutou,man
Shinichiro Nomura,man
Siara Fabbri,woman
Simon Lorenzi,man
Staša Gejo,woman
Stefano Ghisolfi,man
Taylor McNeill,man
Tim Reuser,man
Tomoko Ogawa,woman
Toru Nakajima,man
Will Bosi,man
Yannick Flohé,man
Yuta Imaizumi,man
Zach Galla,man
Vadim Timonov,man
Francesco Berardino,man
Austin Purdy,man
Keenan Takahashi,man
Martin Keller,man
Zander Waller,man
Stefano Carnati,man
Katrin Lehmann,woman
Mishka Ishi,woman
Camilla Moroni,woman
Kelly Birch,woman
