name,location,country,note,discipline,europeanGrade,americanGrade
Ali Hulk (extension total sit start),Rodellar,Spain,"All grade proposals:  Jonathan Flor (9b, 2019),  Jorge Díaz-Rullo (9b, 2019),  Laura Rogora (9b, 2020),  Dani Fuertes (9b, 2020),  Dave Graham (9b, 2020),  Alex Garriga (9a+, 2021) and Gonzalo Larrocha (9a+, 2022)",sport,9b or 9a+,5.15b or 5.15a
Alphane,Fontainebleau,France,,boulder,9A,V17
Amandla,Rocklands,South Africa,,boulder,8B+,V14
Bibliographie,Céüse,France,,sport,9b+,5.15c
Big Conviction,,,,boulder,8C+,V16
Big Z,,,,boulder,8C+,V16
Bimba Luna,,,,sport,9a+,5.15a
Biographie,Céüse,France,,sport,9a+,5.15a
Bookeeping,,,,boulder,8C+,V16
Box Therapy,,,,boulder,8C+,V16
Brace For the Cure,,,,boulder,8C+,V16
Brutal Rider,,,,boulder,8C+,V16
Bügeleisen,Maltatal,Austria,,boulder,8B+,V14
Burden of Dreams,Lappnor,Finland,,boulder,9A,V17
Catharsis,,,,boulder,8B+,V14
Change,Flatanger,Norway,"All grade proposals:  Adam Ondra (9b+, 2012),  Stefano Ghisolfi (9b+, 2020),  Seb Bouin (9b/+, 2022)",sport,9b+ or 9b/+,5.15c or 5.15b/c
Compass North,,,,boulder,8B+,V14
Creature from the Black Lagoon,Rocky Mountain National Park,USA,,boulder,8C+,V16
Crème de la Crumb SDS,,,,boulder,8B+,V14
Daños Con-Laterales,,,,boulder,8C+,V16
Direct North,,,,boulder,8B+,V14
Distortion,,,,boulder,8C+,V16
Dna,,,,sport,9c,5.15d
Eagle-4,Verdon Gorge,France,"All grade proposals:  Adam Ondra (9b, 2018),  Hugo Parmentier (9b, 2020),  Julia Chanourdie (9b, 2020),  Pierre le Cerf (9a+, 2022)",sport,9b or 9a+,5.15b or 5.15a
Emasculator,,,,boulder,8B+,V14
Ephyra,Chironico,Switzerland,,boulder,8C+,V16
Epitaph,,,,boulder,8C+,V16
Erebor,,,"All grade proposals:  Stefano Ghisolfi (9b/+, 2021),  Laura Rogora (9b/+, 2021),  Adama Ondra (9b, 2021),  Jacob Schubert (9b, 2022),  Stefano Carnati (9b, 2023)",sport,9b or 9b/+,5.15b or 5.15b/c
Euclase,,,,boulder,8C+,V16
Excalibur,,,,sport,9b+,5.15c
Floatin,,,,boulder,8C+,V16
Fuck the System,,,,boulder,8C+,V16
Gakidō,,,,boulder,8C+,V16
Ganesh,,,,boulder,8C+,V16
Gioia,Varazze,Italy,,boulder,8C+,V16
Golden Show,,,,boulder,8B+,V14
