climber_name,route_name,date
Adam Ondra,Brutal Rider,May-20
Adam Ondra,Change,Oct-12
Adam Ondra,Gioia,Dec-11
Adam Ondra,La Dura Dura,Feb-13
Adam Ondra,Ledoborec,May-20
Adam Ondra,Move,Aug-13
Adam Ondra,Silence,Sep-17
Adam Ondra,Terranova,Nov-11
Adam Ondra,Vasil Vasil,Dec-13
Adam Ondra,Zvěřinec,Nov-22
Aidan Roberts,Alphane,Oct-22
Aidan Roberts,Isles of Wonder SDS,Jul-22
Aidan Roberts,Superpowers,Sep-20
Aidan Roberts,Vecchio Leone SDS,Nov-22
Akira Waku,Hydrangea,Nov-19
Alex Johnson,The swarm,Apr-21
Alex Megos,Bibliographie,Aug-20
Alex Megos,Perfecto Mundo,May-18
Alex Puccio,Hailstorm,Mar-22
Alex Puccio,Jade,Aug-14
Alex Puccio,New Base Line,Sep-17
Alex Puccio,The swarm,Feb-15
Alex Puccio,The Wheel of Chaos,Sep-14
Alex Puccio,Tigris SDS,Jun-22
Alex Puccio,We Can Build You,Sep-22
Allison Vest,Show Your Scars,Feb-22
Anak Verhoeven,Joe Mama,Nov-19
Anak Verhoeven,No Pain No Gain,Oct-22
Anak Verhoeven,Sweet Neuf,Sep-17
Andy Lamb,Creature from the Black Lagoon,Aug-21
Angela Eiter,La Planta de Shiva,Oct-17
Angela Eiter,Madame Ching,Dec-20
Anna Stöhr,New Base Line,Jul-05
Anna Stöhr,The Penrose Step,Nov-17
Ashima Shiraishi,Horizon,Mar-16
Ashima Shiraishi,Open Your Mind Direct,Mar-15
Bernd Zangerl,Into the Sun,Oct-17
Brooke Raboutou,Jade,Aug-20
Brooke Raboutou,Lur,Jul-05
Brooke Raboutou,Muscle Car,May-20
Brooke Raboutou,Trieste,Nov-21
Camille Coudert,Soudain Seul,Feb-22
Carlo Traversi,Creature from the Black Lagoon,Jul-20
Charles Albert,Hypothèse Assis,Dec-18
Charles Albert,La Révolutionnaire Assis,Nov-17
Charles Albert,No Kpote Only,Dec-18
Chris Sharma,La Dura Dura,Mar-13
Chris Sharma,Sleeping Lion,Mar-23
Christian Core,Gioia,Mar-08
Clément Lechaptois,Fuck the System,Oct-22
Colin Duffy,Bookeeping,Feb-23
Dai Koyamada,Nayuta,Apr-17
Dai Koyamada,The Story of Two Worlds (Low Start),Mar-12
Daisuke Ichimiya,Creature from the Black Lagoon,Sep-17
Daniel Woods,Box Therapy,Oct-18
Daniel Woods,Creature from the Black Lagoon,Sep-16
Daniel Woods,Grand Illusion,Jun-21
Daniel Woods,Hypnotized Minds,Oct-10
Daniel Woods,Insomniac,Sep-22
Daniel Woods,Off the Wagon Low,Mar-20
Daniel Woods,Return of the Sleepwalker,Mar-21
Daniel Woods,Sleepwalker,Jan-19
Daniel Woods,The Ice Knife SDS,Nov-13
Daniel Woods,The Process,Jan-15
Dave Graham,Creature from the Black Lagoon,Oct-16
Dave Graham,Euclase,Apr-22
Dave Graham,Fuck the System,Jun-22
Dave Graham,Hypnotized Minds,Oct-19
Drew Ruana,Bookeeping,Dec-22
Drew Ruana,Box Therapy,Jul-20
Drew Ruana,Creature from the Black Lagoon,Aug-20
Drew Ruana,Distortion,Aug-22
Drew Ruana,Insomniac,Jul-21
Drew Ruana,Maxwell's Demon Low,Feb-23
Drew Ruana,Sleepwalker,Jan-20
Drew Ruana,The Ice Knife SDS,Oct-22
Dylan Barks,Creature from the Black Lagoon,Aug-21
Elias Iagnemma,Ganesh,Feb-22
Elias Iagnemma,Gioia,Feb-21
Florian Wientjes,Off the Wagon Low,Feb-23
Gabe Lawson,The Megg,Jan-23
Giuliano Cameroni,Ephyra,Mar-21
Giuliano Cameroni,Off the Wagon Low,May-21
Giuliano Cameroni,Poison the Well,Feb-19
Griffin Whiteside,Creature from the Black Lagoon,Jul-18
Griffin Whiteside,Sleepwalker,2019
Ignacio Sánchez González,Daños Con-Laterales,Jun-22
Isabelle Faus,Amandla,Aug-15
Isabelle Faus,Crème de la Crumb SDS,Sep-20
Isabelle Faus,Emasculator,Oct-20
Isabelle Faus,Memory is Parallax,Feb-19
Isabelle Faus,Sinawav,Jul-05
Isabelle Faus,Sinwav,Sep-20
Isabelle Faus,The Grinch,Feb-23
Isabelle Faus,The Wheel of Chaos,Oct-16
Jacob Schubert,Perfecto Mundo,Nov-19
Jana Švecová,Prehistorik,Apr-22
Jana Švecová,Roof Der Wildnis,Nov-22
Janja Garnbret,Bügeleisen,Jul-05
Jimmy Webb,Creature from the Black Lagoon,Aug-17
Jimmy Webb,Ephyra,Mar-19
